OptCost	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.6420852	38.533862829208374	0	-80.09563132944714	50.82298475738693	83.59070845406458	-229.31049622128438	151.0	0.0	50132	50132
-0.5573483	62.907949686050415	1	-74.73221614192873	53.421604733475235	120.54355930649209	-201.56869651744842	151.0	0.0	50132	100264
-0.5605007	83.03772163391113	2	-63.62903580945915	48.62397154115419	85.4847070616776	-181.49621353301754	151.0	0.0	50132	150396
-0.5513942	100.99167013168335	3	-64.26751958236439	52.10266158405757	116.77972709089074	-206.93858693398624	151.0	0.0	50132	200528
-0.5519099	124.9918487071991	4	-65.44004015093986	51.35170142116239	82.88061625978082	-279.0612829184447	151.0	0.0	50132	250660
-0.50984305	147.3751735687256	5	-62.827297214387286	54.43341419760793	140.65090976941502	-193.92287926168154	151.0	0.0	50132	300792
-0.51657814	165.46306014060974	6	-61.725898028381344	47.77977724064921	77.01277739432034	-231.31292334866143	151.0	0.0	50132	350924
-0.5210767	187.3958718776703	7	-65.91510153409102	48.78635080463477	78.61841350426351	-202.74573739937438	151.0	0.0	50132	401056
-0.4876549	210.90712332725525	8	-65.77006617283757	47.08171407176963	81.62122898567242	-183.6806857042312	151.0	0.0	50132	451188
-0.4614555	235.56357884407043	9	-70.96607955410624	45.31817111842607	78.89736070928711	-208.12130877666925	151.0	0.0	50132	501320
-0.41598535	264.89504957199097	10	-66.77714789406481	46.406722482540204	79.46383333329581	-192.35956902791077	151.0	0.0	50132	551452
-0.47634768	290.41002368927	11	-68.08203393577371	43.07191004751757	102.11638047134133	-280.2682911417144	151.0	0.0	50132	601584
-0.45287612	308.5423982143402	12	-72.78834387225825	41.97190236715584	80.00376700256783	-181.57215694622403	151.0	0.0	50132	651716
-0.43496615	326.45676255226135	13	-69.19320505813948	41.262825252283136	43.060349283602164	-181.71682707930438	151.0	0.0	50132	701848
-0.44661924	344.40876054763794	14	-66.57736979328223	41.825563039361974	92.95597397705123	-202.45809481680584	151.0	0.0	50132	751980
-0.42678922	362.2920911312103	15	-66.96467632979062	38.49188066923919	120.8649772026368	-211.41396146668643	151.0	0.0	50132	802112
-0.3931336	384.4497916698456	16	-63.05162330895782	38.946229007411084	53.94538428323119	-201.15823701163674	151.0	0.0	50132	852244
-0.37723318	407.6857874393463	17	-63.058417555414906	43.52072147090949	77.57451481097863	-217.98871985383573	151.0	0.0	50132	902376
-0.40672487	432.2499189376831	18	-62.515451641424285	41.10462797922825	119.31772966471144	-158.2525799418276	151.0	0.0	50132	952508
-0.34712955	450.4244201183319	19	-56.848574011998956	40.07776662301071	52.19401997803856	-171.1238394352123	151.0	0.0	50132	1002640
-0.3622284	468.5508167743683	20	-54.21841113437442	42.62985592746903	130.9060902214654	-165.33335543977765	151.0	0.0	50132	1052772
