Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	373.708306793	154.676007887	18.6846018039	1008.34685658	-17.4670934696	8.28103247672	-42.056696445	12.3911533184
1	372.66086212	154.955492882	18.6846018039	1008.34685658	-17.4658212481	8.36114141016	-44.3052215962	12.3911533184
2	373.122159787	155.970223225	18.6846018039	1008.34685658	-17.5241091945	8.46892186532	-44.3052215962	12.3911533184
3	372.115024217	156.706949562	18.6846018039	1008.34685658	-17.6366517256	8.5345096952	-44.3052215962	12.3911533184
4	369.757266518	156.960345599	18.6846018039	1008.34685658	-17.6330075434	8.64215413426	-44.3052215962	12.3911533184
5	366.649633265	157.411656444	18.6846018039	1008.34685658	-17.6601341432	8.60605076585	-44.3052215962	12.3911533184
6	364.718300826	157.44582962	18.6846018039	1008.34685658	-17.6261681112	8.63542141347	-44.3052215962	12.3911533184
7	361.246729819	158.820753105	18.6846018039	1008.34685658	-17.6144986372	8.72445963719	-44.3052215962	12.3911533184
8	359.068772539	158.930414239	18.6846018039	1008.34685658	-17.7632200808	8.83609444045	-44.3052215962	12.3911533184
9	355.853991776	159.669199554	18.6846018039	1008.34685658	-17.8628204948	8.82497000765	-44.3052215962	12.3911533184
